IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
AC7.2	EG179791	soc-2	N/A	N/A	W07G4.5	Two-hybrid	Li S (2004)	14704431	6239	6239
AC7.2	EG178104	soc-2	let-60	N/A	ZK792.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179437	EG179795	gna-1	N/A	B0024.12	B0365.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179437	EG180819	gna-1	dlg-1	B0024.12	C25F6.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179437	EG175638	gna-1	pal-1	B0024.12	C38D4.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179437	EG178732	gna-1	N/A	B0024.12	W02G9.3	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	B0024.14	crm-1	crm-1	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG179256	crm-1	N/A	N/A	B0507.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG176105	crm-1	Tyrosinase	N/A	C02C2.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG172263	crm-1	tyr-4	N/A	C34G6.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	C37C3.6	crm-1	ppn-1	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG183777	crm-1	N/A	N/A	C54D2.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG181022	crm-1	adt-2	N/A	F08C6.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG178647	crm-1	F16B4.5	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG179944	crm-1	N/A	N/A	F23B12.4	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG181340	crm-1	F29G6.3	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG175207	crm-1	N/A	N/A	F30H5.3	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG177321	crm-1	elo-6	N/A	F41H10.8	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG181574	crm-1	N/A	N/A	F42D1.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	F48E8.1	crm-1	lon-1	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG186142	crm-1	N/A	N/A	F53A9.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG186143	crm-1	N/A	N/A	F53A9.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG173582	crm-1	N/A	N/A	F54A3.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG186214	crm-1	N/A	N/A	F54B11.7	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG176902	crm-1	F56B3.2	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG179367	crm-1	N/A	N/A	F58E6.3	Two-hybrid	Li S (2004)	14704431	6239	6239
