IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
At4g00020	At5g20850	N/A	N/A	F6N15.14|BRCA2A|F6N15 14|BRCA2(IV)|EDA20|MEE43|breast cancer 2 like 2A|embryo sac development arrest 20|maternal effect embryo arrest 43	F22D1.20|ATRAD51|F22D1 20|RAD51|Arabidopsis thaliana Ras Associated with Diabetes protein 51	Two-hybrid	Siaud N (2004)	15014444	3702	3702
At4g00020	At3g22880	N/A	N/A	F6N15.14|BRCA2A|F6N15 14|BRCA2(IV)|EDA20|MEE43|breast cancer 2 like 2A|embryo sac development arrest 20|maternal effect embryo arrest 43	ATDMC1|ARLIM15|DMC1|RECA-LIKE GENE	Two-hybrid	Siaud N (2004)	15014444	3702	3702
At5g61380	At2g43010	N/A	N/A	MFB13.13|TOC1|APRR1|MFB13 13|PRR1|PSEUDO-RESPONSE REGULATOR 1|TIMING OF CAB EXPRESSION 1|TIMING OF CAB1 1	MFL8.13|PIF4|MFL8 13|PHYTOCHROME INTERACTING FACTOR 4|SRL2	Two-hybrid	Ito S (2003)	14634162	3702	3702
At5g61380	At3g59060	N/A	N/A	MFB13.13|TOC1|APRR1|MFB13 13|PRR1|PSEUDO-RESPONSE REGULATOR 1|TIMING OF CAB EXPRESSION 1|TIMING OF CAB1 1	PIL6|PHYTOCHROME INTERACTING FACTOR 3-LIKE 6|PHYTOCHROME-INTERACTING FACTOR 5|PIF5	Two-hybrid	Ito S (2003)	14634162	3702	3702
At5g61380	At5g61380	N/A	N/A	MFB13.13|TOC1|APRR1|MFB13 13|PRR1|PSEUDO-RESPONSE REGULATOR 1|TIMING OF CAB EXPRESSION 1|TIMING OF CAB1 1	MFB13.13|TOC1|APRR1|MFB13 13|PRR1|PSEUDO-RESPONSE REGULATOR 1|TIMING OF CAB EXPRESSION 1|TIMING OF CAB1 1	Two-hybrid	Ito S (2003)	14634162	3702	3702
At5g61380	At2g46790	N/A	N/A	MFB13.13|TOC1|APRR1|MFB13 13|PRR1|PSEUDO-RESPONSE REGULATOR 1|TIMING OF CAB EXPRESSION 1|TIMING OF CAB1 1	F19D11.7|APRR9|PRR9|PSEUDO-RESPONSE REGULATOR 9|TIMING OF CAB EXPRESSION 1-LIKE|TL1|TOC-LIKE PROTEIN 1	Two-hybrid	Ito S (2003)	14634162	3702	3702
At2g46790	At2g46790	N/A	N/A	F19D11.7|APRR9|PRR9|PSEUDO-RESPONSE REGULATOR 9|TIMING OF CAB EXPRESSION 1-LIKE|TL1|TOC-LIKE PROTEIN 1	F19D11.7|APRR9|PRR9|PSEUDO-RESPONSE REGULATOR 9|TIMING OF CAB EXPRESSION 1-LIKE|TL1|TOC-LIKE PROTEIN 1	Two-hybrid	Ito S (2003)	14634162	3702	3702
At2g46790	At5g61380	N/A	N/A	F19D11.7|APRR9|PRR9|PSEUDO-RESPONSE REGULATOR 9|TIMING OF CAB EXPRESSION 1-LIKE|TL1|TOC-LIKE PROTEIN 1	MFB13.13|TOC1|APRR1|MFB13 13|PRR1|PSEUDO-RESPONSE REGULATOR 1|TIMING OF CAB EXPRESSION 1|TIMING OF CAB1 1	Two-hybrid	Ito S (2003)	14634162	3702	3702
At1g10940	At2g18915	N/A	N/A	ASK1|ARABIDOPSIS SERINE/THREONINE KINASE 1|SNF1-RELATED PROTEIN KINASE 2-4|SNF1-RELATED PROTEIN KINASE 2.4|SNRK2-4|SNRK2.4|SRK2A|SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-4	LKP2|ADAGIO 2|ADO2|LOV KELCH PROTEIN 2	Two-hybrid	Yasuhara M (2004)	15310821	3702	3702
At5g42190	At2g18915	N/A	N/A	MJC20.30|ASK2|ARABIDOPSIS SKP1-LIKE 2|MJC20 30|SKP1B	LKP2|ADAGIO 2|ADO2|LOV KELCH PROTEIN 2	Two-hybrid	Yasuhara M (2004)	15310821	3702	3702
