IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
EG4842	EG29382	NOS1	Ctbp1	NOS|IHPS1	50-kDaBFA-inducedADP-ribosylatedsubstrate|BARS-50|Bars|CtBP3/BARS|MGC93318	Affinity Capture-MS	Riefler GM (2001)	11590170	9606	10116
EG581	EG116502	BAX	Bak1	Bax zeta	MGC108627	Affinity Capture-Western	Henry H (2002)	11850803	9606	10116
RP11-481A12.4	EG24413	NCOA4	Nr3c1	ARA70|DKFZp762E1112|ELE1|PTC3|RFG	GR|Gcr|Grl	Reconstituted Complex	Alen P (1999)	9892017	9606	10116
EG25414	EG25513	Bcar1	Pik3r1	Cas|Crkas|P130CAS	PI3KA	Affinity Capture-Western	Riggins RB (2003)	12692262	10116	10116
EG25414	EG25513	Bcar1	Pik3r1	Cas|Crkas|P130CAS	PI3KA	Far Western	Riggins RB (2003)	12692262	10116	10116
EG9261	EG24855	MAPKAPK2	Tsc2	N/A	Rc	Biochemical Activity	Li Y (2003)	12582162	9606	10116
EG24855	EG7529	Tsc2	YWHAB	Rc	GW128|HS1|KCIP-1	Affinity Capture-Western	Li Y (2003)	12582162	10116	9606
EG5783	EG24205	PTPN13	Apc	DKFZp686J1497|FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE	RATAPC	Affinity Capture-Western	Erdmann KS (2000)	10951583	9606	10116
EG29382	EG24598	Ctbp1	Nos1	50-kDaBFA-inducedADP-ribosylatedsubstrate|BARS-50|Bars|CtBP3/BARS|MGC93318	bNOS	Affinity Capture-Western	Riefler GM (2001)	11590170	10116	10116
EG24205	EG5783	Apc	PTPN13	RATAPC	DKFZp686J1497|FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE	Two-hybrid	Erdmann KS (2000)	10951583	10116	9606
EG24205	EG5783	Apc	PTPN13	RATAPC	DKFZp686J1497|FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE	Reconstituted Complex	Erdmann KS (2000)	10951583	10116	9606
EG66603	EG85435	Sip1	Madh9	1700012N19Rik|Gemin2	Smad8|Smad9	Two-hybrid	van Grunsven LA (2003)	12714599	10090	10116
EG89816	EG361512	Picalm	MGEPS	Calm|MGC114290	Ehd2	Reconstituted Complex	Park SY (2004)	15182197	10116	10116
EG361512	EG25139	MGEPS	Slc2a4	Ehd2	Glut4|MGC93607	Affinity Capture-Western	Park SY (2004)	15182197	10116	10116
EG26574	EG292925	AATF	Tsg101	CHE-1|CHE1|DED	Rw	Two-hybrid	Burgdorf S (2004)	14761944	9606	10116
EG292925	EG26574	Tsg101	AATF	Rw	CHE-1|CHE1|DED	Reconstituted Complex	Burgdorf S (2004)	14761944	10116	9606
EG8655	EG310218	DNCL1	Car1 predicted	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Ca1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24533	DNCL1	Ldha	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Ldh1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24189	DNCL1	Aldoa	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Aldo1|RNALDOG5	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG64520	DNCL1	Mta1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	N/A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG50688	DNCL1	Cacnb1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	N/A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24957	DNCL1	Glul	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Glns	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG81822	DNCL1	Actb	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Actx	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG287876	DNCL1	Actg	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Actg1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24551	DNCL1	Mdh1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	MDL1|Mdhl|Mor2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG81818	DNCL1	Vim	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	N/A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG499110	DNCL1	LOC499110	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	N/A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24399	DNCL1	Glud1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Glud|MGC93608|MRG-2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG64158	DNCL1	Tuba1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Tuba1a	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
