IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
SPCC4F11.02	SPAC24B11.06c	ptc1	sty1	N/A	phh1|spc1	Reconstituted Complex	Nguyen AN (1999)	10398679	284812	284812
SPBC216.05	SPAC9E9.08	rad3	rad26	N/A	N/A	Co-fractionation	Edwards RJ (1999)	10559981	284812	284812
SPBC216.05	SPAC9E9.08	rad3	rad26	N/A	N/A	Affinity Capture-Western	Edwards RJ (1999)	10559981	284812	284812
SPBC216.05	SPCC1259.13	rad3	chk1	N/A	rad27	Dosage Rescue	Martinho RG (1998)	9857181	284812	284812
SPBC216.05	SPCC1259.13	rad3	chk1	N/A	rad27	Biochemical Activity	Martinho RG (1998)	9857181	284812	284812
SPBC216.05	SPCC18B5.11c	rad3	cds1	N/A	N/A	Biochemical Activity	Martinho RG (1998)	9857181	284812	284812
SPCC1259.13	SPBC216.05	chk1	rad3	rad27	N/A	Affinity Capture-Western	Martinho RG (1998)	9857181	284812	284812
SPCC18B5.11c	SPBC216.05	cds1	rad3	N/A	N/A	Affinity Capture-Western	Martinho RG (1998)	9857181	284812	284812
SPCC18B5.11c	SPAC3H5.06c	cds1	pol1	N/A	polA|swi7	Synthetic Rescue	Liu VF (1999)	9891047	284812	284812
SPAC9E9.08	SPAC3H5.06c	rad26	pol1	N/A	polA|swi7	Synthetic Lethality	Liu VF (1999)	9891047	284812	284812
SPAC27E2.05	SPAC9E9.08	cdc1	rad26	mis1	N/A	Synthetic Lethality	Liu VF (1999)	9891047	284812	284812
SPAC27E2.05	SPCC18B5.11c	cdc1	cds1	mis1	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPBC336.04	SPAC9E9.08	pol3	rad26	cdc6|mis10|pold	N/A	Synthetic Lethality	Liu VF (1999)	9891047	284812	284812
SPBC1734.02c	SPCC18B5.11c	cdc27	cds1	SPBC337.18c	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPBC336.04	SPCC18B5.11c	pol3	cds1	cdc6|mis10|pold	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPBC1734.02c	SPAC9E9.08	cdc27	rad26	SPBC337.18c	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPAC20G8.01	SPAC9E9.08	cdc17	rad26	N/A	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPAC20G8.01	SPCC18B5.11c	cdc17	cds1	N/A	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPAC3G6.06c	SPAC9E9.08	rad2	rad26	fen1	N/A	Synthetic Growth Defect	Liu VF (1999)	9891047	284812	284812
SPCC4G3.05c	SPCC18B5.11c	N/A	cds1	mus81	N/A	Affinity Capture-Western	Kai M (2005)	15805465	284812	284812
SPCC4G3.05c	SPCC18B5.11c	N/A	cds1	mus81	N/A	Reconstituted Complex	Kai M (2005)	15805465	284812	284812
SPAC821.12	SPCC970.04c	orb6	N/A	N/A	mob2	Two-hybrid	Hou MC (2003)	12456722	284812	284812
SPAC821.12	SPCC970.04c	orb6	N/A	N/A	mob2	Affinity Capture-Western	Hou MC (2003)	12456722	284812	284812
SPAC821.12	SPCC970.04c	orb6	N/A	N/A	mob2	Reconstituted Complex	Hou MC (2003)	12456722	284812	284812
SPBC1289.03c	SPBC26H8.10	spi1	N/A	N/A	dis3|rrp44	Affinity Capture-Western	Noguchi E (1996)	8896453	284812	284812
SPBC557.03c	SPBC26H8.10	pim1	N/A	dcd1|ptr2	dis3|rrp44	Affinity Capture-Western	Noguchi E (1996)	8896453	284812	284812
SPAC664.01c	SPCC622.16c	swi6	N/A	SPAC824.10c	epe1	Affinity Capture-Western	Zofall M (2006)	16762840	284812	284812
SPCC790.04c	SPAC1B9.01c	N/A	N/A	SPCC1840.01c|mog1	nxt2|SPAC15F9.03c|nft2|ntf2	Affinity Capture-Western	Oki M (2007)	17651922	284812	284812
SPCC790.04c	SPBC1289.03c	N/A	spi1	SPCC1840.01c|mog1	N/A	Affinity Capture-Western	Oki M (2007)	17651922	284812	284812
SPCC790.04c	SPAC821.04c	N/A	N/A	SPCC1840.01c|mog1	cid13	Affinity Capture-Western	Oki M (2007)	17651922	284812	284812
SPBC336.12c	SPBC14C8.14c	cdc10	pol5	N/A	N/A	Affinity Capture-Western	Nadeem FK (2006)	16816948	284812	284812
SPBC336.12c	SPBC14C8.14c	cdc10	pol5	N/A	N/A	Two-hybrid	Nadeem FK (2006)	16816948	284812	284812
SPBC409.09c	SPBC409.04c	N/A	N/A	cnl1|mis13	mis12	Affinity Capture-Western	Obuse C (2004)	15502821	284812	284812
SPCC1020.02	SPBC409.04c	N/A	N/A	spc7	mis12	Affinity Capture-Western	Obuse C (2004)	15502821	284812	284812
SPBC1921.02	SPAC2G11.12	N/A	hus2	rad60	rad12|rqh1|rec9	Synthetic Lethality	Raffa GD (2006)	16880212	284812	284812
SPBC1921.02	SPAPB1E7.06c	N/A	N/A	rad60	eme1	Synthetic Lethality	Raffa GD (2006)	16880212	284812	284812
SPAC2G11.12	SPBC1921.02	hus2	N/A	rad12|rqh1|rec9	rad60	Dosage Lethality	Raffa GD (2006)	16880212	284812	284812
SPAC631.01c	SPAC20G4.06c	N/A	cof1	acp2	adf1	Synthetic Lethality	Nakano K (2006)	16866873	284812	284812
SPAC20G4.06c	SPAC631.01c	cof1	N/A	adf1	acp2	Synthetic Lethality	Nakano K (2006)	16866873	284812	284812
SPAC631.01c	SPAC20G4.06c	N/A	cof1	acp2	adf1	Synthetic Lethality	Nakano K (2006)	16467379	284812	284812
SPAC20G4.06c	SPAC631.01c	cof1	N/A	adf1	acp2	Synthetic Lethality	Nakano K (2006)	16467379	284812	284812
SPAC631.01c	SPAC4A8.15c	N/A	cdc3	acp2	N/A	Synthetic Lethality	Nakano K (2006)	16866873	284812	284812
SPAC631.01c	SPAC15A10.08	N/A	N/A	acp2	ain1	Phenotypic Enhancement	Nakano K (2006)	16866873	284812	284812
SPAC631.01c	SPAP8A3.08	N/A	cdc4	acp2	N/A	Synthetic Lethality	Nakano K (2006)	16866873	284812	284812
SPAC631.01c	SPAC4F8.13c	N/A	N/A	acp2	rng2	Phenotypic Enhancement	Nakano K (2006)	16866873	284812	284812
SPCC5E4.04	SPAC24B11.06c	cut1	sty1	N/A	phh1|spc1	Synthetic Lethality	Kawasaki Y (2006)	16861909	284812	284812
SPCC5E4.04	SPBC29B5.01	cut1	atf1	N/A	gad7|mts1|sss1	Synthetic Lethality	Kawasaki Y (2006)	16861909	284812	284812
SPCC5E4.04	SPBC409.07c	cut1	wis1	N/A	smf2|spc2	Synthetic Growth Defect	Kawasaki Y (2006)	16861909	284812	284812
SPBC106.10	SPCC5E4.04	pka1	cut1	git6|tpk	N/A	Synthetic Rescue	Kawasaki Y (2006)	16861909	284812	284812
SPBC106.10	SPBC14C8.01c	pka1	cut2	git6|tpk	SPBC1815.02c	Synthetic Rescue	Kawasaki Y (2006)	16861909	284812	284812
SPAC30D11.07	SPBC19C7.09c	N/A	uvde	nth1	uve1	Phenotypic Suppression	Tanihigashi H (2006)	16857169	284812	284812
SPAC30D11.07	SPCC622.17	N/A	apn1	nth1	N/A	Phenotypic Suppression	Tanihigashi H (2006)	16857169	284812	284812
SPAC30D11.07	SPCC622.17	N/A	apn1	nth1	N/A	Phenotypic Enhancement	Tanihigashi H (2006)	16857169	284812	284812
SPBC3D6.10	SPCC622.17	N/A	apn1	apn2	N/A	Phenotypic Suppression	Tanihigashi H (2006)	16857169	284812	284812
SPAC25B8.14	SPAC1783.03	mal2	N/A	N/A	fta2|sma2	Dosage Rescue	Kerres A (2006)	16855021	284812	284812
SPAC1783.03	SPAC25B8.14	N/A	mal2	fta2|sma2	N/A	Dosage Rescue	Kerres A (2006)	16855021	284812	284812
SPAC1783.03	SPAC25B8.14	N/A	mal2	fta2|sma2	N/A	Synthetic Lethality	Kerres A (2006)	16855021	284812	284812
SPAC1783.03	SPAC1687.20c	N/A	N/A	fta2|sma2	mis6	Synthetic Lethality	Kerres A (2006)	16855021	284812	284812
SPAC1783.03	SPBC18E5.03c	N/A	N/A	fta2|sma2	sim4	Synthetic Growth Defect	Kerres A (2006)	16855021	284812	284812
SPAC1783.03	SPAC1687.20c	N/A	N/A	fta2|sma2	mis6	Synthetic Growth Defect	Kerres A (2006)	16855021	284812	284812
SPAC1783.03	SPBP22H7.09c	N/A	N/A	fta2|sma2	mis15	Synthetic Growth Defect	Kerres A (2006)	16855021	284812	284812
SPAC3F10.11c	SPAC30.04c	N/A	N/A	abc2	abc4	Phenotypic Enhancement	Iwaki T (2006)	16849797	284812	284812
SPBC29A10.15	SPCC1259.13	orc1	chk1	orp1|cdc30	rad27	Phenotypic Enhancement	Nitani N (2006)	16849602	284812	284812
SPAC17D4.02	SPCC1259.13	sna41	chk1	goa1|cdc45	rad27	Phenotypic Enhancement	Nitani N (2006)	16849602	284812	284812
SPCC18B5.11c	SPCC1259.13	cds1	chk1	N/A	rad27	Phenotypic Enhancement	Nitani N (2006)	16849602	284812	284812
SPAC694.06c	SPAC17D4.02	N/A	sna41	mrc1	goa1|cdc45	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPAC694.06c	SPBC4.04c	N/A	cdc19	mrc1	mcm2|nda1	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPCC18B5.11c	SPBC4.04c	cds1	cdc19	N/A	mcm2|nda1	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPAC694.06c	SPAC1B2.05	N/A	nda4	mrc1	SPAC3F10.01|mcm5	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPCC18B5.11c	SPAC1B2.05	cds1	nda4	N/A	SPAC3F10.01|mcm5	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPBC29A10.15	SPAC694.06c	orc1	N/A	orp1|cdc30	mrc1	Phenotypic Enhancement	Nitani N (2006)	16849602	284812	284812
SPCC18B5.11c	SPBC29A10.15	cds1	orc1	N/A	orp1|cdc30	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPCC18B5.11c	SPAC17D4.02	cds1	sna41	N/A	goa1|cdc45	Phenotypic Suppression	Nitani N (2006)	16849602	284812	284812
SPCC1259.13	SPAC8E11.02c	chk1	rad24	rad27	N/A	Phenotypic Enhancement	Calonge TM (2006)	16816416	284812	284812
SPCC1259.13	SPAC644.06c	chk1	cdr1	rad27	nim1	Synthetic Lethality	Calonge TM (2006)	16816416	284812	284812
SPAC644.06c	SPCC18B5.03	cdr1	wee1	nim1	N/A	Synthetic Rescue	Calonge TM (2006)	16816416	284812	284812
SPAC644.06c	SPAC8E11.02c	cdr1	rad24	nim1	N/A	Synthetic Rescue	Calonge TM (2006)	16816416	284812	284812
SPCC1259.13	SPAC644.06c	chk1	cdr1	rad27	nim1	Phenotypic Suppression	Calonge TM (2006)	16816416	284812	284812
SPCC1259.13	SPBC216.05	chk1	rad3	rad27	N/A	Phenotypic Suppression	Calonge TM (2006)	16816416	284812	284812
SPCC1259.13	SPAC14C4.13	chk1	rad17	rad27	N/A	Phenotypic Suppression	Calonge TM (2006)	16816416	284812	284812
SPCC1259.13	SPBC342.05	chk1	rhp9	rad27	crb2	Phenotypic Suppression	Calonge TM (2006)	16816416	284812	284812
SPCC18B5.03	SPAC644.06c	wee1	cdr1	N/A	nim1	Phenotypic Enhancement	Calonge TM (2006)	16816416	284812	284812
SPBC19C2.05	SPCC1739.11c	ran1	N/A	pat1	cdc11	Phenotypic Enhancement	Krapp A (2006)	16787941	284812	284812
SPBC19C2.05	SPAC1565.06c	ran1	sid3	pat1	spg1	Phenotypic Enhancement	Krapp A (2006)	16787941	284812	284812
SPBC19C2.05	SPAC9G1.09	ran1	N/A	pat1	sid1	Phenotypic Enhancement	Krapp A (2006)	16787941	284812	284812
SPBC342.05	SPCC622.08c	rhp9	hta1	crb2	N/A	Phenotypic Suppression	Du LL (2006)	16778077	284812	284812
