IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
EG280906	EG281119	RB1	DNMT1	N/A	DNMT	Affinity Capture-Western	Robertson KD (2000)	10888886	9913	9913
EG513895	EG60	PFN1	ACTB	N/A	PS1TP5BP1|beta-actin	Co-crystal Structure	Nodelman IM (1999)	10600384	9913	9606
EG280691	At2g46020	H4	N/A	N/A	T3F17.33|ATBRM/CHR2|ARABIDOPSIS THALIANA BRAHMA|ATBRM|CHR2	Far Western	Farrona S (2007)	17825834	9913	3702
EG326601	At2g46020	H3F3A	N/A	N/A	T3F17.33|ATBRM/CHR2|ARABIDOPSIS THALIANA BRAHMA|ATBRM|CHR2	Far Western	Farrona S (2007)	17825834	9913	3702
EG344	EG280843	APOC2	LPL	MGC75082	MGC137861	Reconstituted Complex	MacPhee CE (2000)	10727238	9606	9913
EG281105	EG4082	CTSB	MARCKS	N/A	80K-L|FLJ14368|MACS|MRACKS|PKCSL|PRKCSL|FLJ90045	Biochemical Activity	Spizz G (1997)	9295331	9913	9606
EG282307	EG442985	PIK3R1	PDGFRB	N/A	N/A	Reconstituted Complex	McGlade CJ (1992)	1372092	9913	9615
EG9368	EG287026	SLC9A3R1	PLCB1	EBP50|NHERF|NHERF1	N/A	Reconstituted Complex	Tang Y (2000)	10980202	9606	9913
EG81672	EG281165	Grm7	FLNA	N/A	N/A	Two-hybrid	Enz R (2002)	11943148	10116	9913
EG24418	EG281165	Grm5	FLNA	mGluR5|mGlur5	N/A	Two-hybrid	Enz R (2002)	11943148	10116	9913
EG60590	EG281165	Grm8	FLNA	Glur8|Gprc1h|Mglur8|mGlur	N/A	Two-hybrid	Enz R (2002)	11943148	10116	9913
EG508566	EG508566	MGC127852	MGC127852	NQO2	NQO2	Co-purification	Zhao Q (1997)	9050836	9913	9913
EG4036	EG280717	LRP2	ALB	gp330|DBS	MGC179277	Reconstituted Complex	Cui S (1996)	8898021	9606	9913
EG281040	EG4842	CAV1	NOS1	N/A	NOS|IHPS1	Reconstituted Complex	Venema VJ (1997)	9353265	9913	9606
EG282173	EG80279	CDK5R1	CDK5RAP3	P25/P35	C53|HSF-27|IC53|MST016|OK/SW-cl.114|LZAP	Two-hybrid	Ching YP (2000)	10721722	9913	9606
